[2022-11-19 01:01:02,141] INFO [Controller id=0 epoch=6] Sending UpdateMetadata request to brokers HashSet() for 0 partitions (state.change.logger)
[2022-11-19 01:01:10,854] INFO [Broker id=0] Leader __consumer_offsets-1 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:01:10,878] INFO [Broker id=0] Leader __consumer_offsets-16 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:01:10,902] INFO [Broker id=0] Leader __consumer_offsets-2 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 3 with partition epoch 0, high watermark 3, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:01:10,903] INFO [Broker id=0] Leader __consumer_offsets-25 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:01:10,925] INFO [Broker id=0] Leader __consumer_offsets-40 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:01:10,948] INFO [Broker id=0] Leader __consumer_offsets-47 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:01:10,972] INFO [Broker id=0] Leader __consumer_offsets-17 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:01:10,995] INFO [Broker id=0] Leader __consumer_offsets-32 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:01:11,018] INFO [Broker id=0] Leader __consumer_offsets-37 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:01:11,042] INFO [Broker id=0] Leader __consumer_offsets-7 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
